theta_rx_deg,voltage_gain,power_gain,gain_db,rx_power,tx_power,correlation
-90.0,0.133179966903153,0.01773690358432493,-17.511221947418786,0.011085564740203084,0.6250000000000001,1.0000000000000002
-89.75,0.13317177129885907,0.017734720670875625,-17.511756474543837,0.011084200419297266,0.6250000000000001,1.0
-89.5,0.13314717426359055,0.017728170014378947,-17.513360920175167,0.011080106258986843,0.6250000000000001,1.0
-89.25,0.13310614513965832,0.017717245873939788,-17.516037877938857,0.011073278671212368,0.6250000000000001,0.9999999999999998
-89.0,0.13304863286248,0.017701938706574993,-17.51979167341027,0.011063711691609373,0.6250000000000001,0.9999999999999998
-88.75,0.13297456600798108,0.017682235205010916,-17.52462836843064,0.011051397003131824,0.6250000000000001,0.9999999999999998
-88.5,0.13288385285905618,0.017658118350667294,-17.530555767188357,0.011036323969167062,0.6250000000000001,1.0000000000000002
-88.25,0.13277638149119353,0.01762956748189496,-17.537583424102937,0.011018479676184351,0.6250000000000001,1.0
-88.0,0.13265201987737807,0.017596558377548307,-17.54572265356207,0.010997848985967694,0.6250000000000001,1.0
-87.75,0.13251061601244746,0.017559063355998297,-17.554986541571694,0.010974414597498936,0.6250000000000001,1.0
-87.5,0.13235199805707054,0.017517051389698803,-17.56538995939316,0.010948157118561754,0.6250000000000001,1.0
-87.25,0.13217597450155633,0.01747048823543607,-17.57694957925318,0.010919055147147543,0.6250000000000001,1.0
-87.0,0.13198233434973755,0.01741933658040591,-17.589683892224645,0.010887085362753696,0.6250000000000001,1.0
-86.75,0.13177084732318436,0.017363556204269964,-17.60361322839081,0.010852222627668728,0.6250000000000001,1.0
-86.5,0.13154126408603056,0.017303104157350833,-17.618759779419715,0.010814440098344274,0.6250000000000001,1.0000000000000002
-86.25,0.131293316490728,0.01723793495513447,-17.635147623690123,0.010773709346959046,0.6250000000000001,1.0
-86.0,0.13102671784505587,0.01716800078924788,-17.65280275412724,0.010730000493279927,0.6250000000000001,1.0
-85.75,0.13074116320074192,0.01709325175508303,-17.671753108923156,0.010683282346926897,0.6250000000000001,1.0
-85.5,0.13043632966406543,0.017013636096232757,-17.69202860533598,0.010633522560145475,0.6250000000000001,1.0
-85.25,0.1301118767288428,0.016929100465901587,-17.71366117678073,0.010580687791188495,0.6250000000000001,0.9999999999999998
-85.0,0.12976744663220266,0.016839590205441565,-17.73668481344737,0.01052474387840098,0.6250000000000001,1.0
-84.75,0.12940266473357745,0.01674504964015065,-17.761135606704535,0.010465656025094156,0.6250000000000001,1.0
-84.5,0.12901713991736613,0.01664542239245723,-17.787051797571884,0.01040338899528577,0.6250000000000001,0.9999999999999998
-84.25,0.12861046501971501,0.01654065171258734,-17.81447382957323,0.010337907320367087,0.6250000000000001,1.0
-84.0,0.12818221727989526,0.016430680826790278,-17.843444406311505,0.010269175516743927,0.6250000000000001,1.0
-83.75,0.12773195881675425,0.016315453303165004,-17.87400855414058,0.010197158314478129,0.6250000000000001,0.9999999999999999
-83.5,0.12725923713073525,0.016194913435096707,-17.90621369034496,0.010121820896935443,0.6250000000000001,1.0000000000000002
-83.25,0.126763585631956,0.01606900664227024,-17.94010969727932,0.010043129151418901,0.6250000000000001,1.0
-83.0,0.12624452419485369,0.015937679889184996,-17.975749002963543,0.009961049930740625,0.6250000000000001,1.0
-82.75,0.12570155973990432,0.015800882121044735,-18.013186668678454,0.009875551325652961,0.6250000000000001,1.0
-82.5,0.12513418684290967,0.015658564716836226,-18.05248048416324,0.009786602948022643,0.6250000000000001,1.0
-82.25,0.12454188837236899,0.015510681959355618,-18.093691071074755,0.009694176224597261,0.6250000000000001,1.0
-82.0,0.1239241361554306,0.015357191521869703,-18.13688199543824,0.009598244701168566,0.6250000000000001,1.0
-81.75,0.12328039167291255,0.015198054971026725,-18.18211988989488,0.009498784356891705,0.6250000000000001,1.0
-81.5,0.12261010678388916,0.015033238285556702,-18.22947458663569,0.00939577392847294,0.6250000000000001,1.0
-81.25,0.12191272448030095,0.014862712390209771,-18.279019262008685,0.009289195243881108,0.6250000000000001,1.0
-81.0,0.12118767967206642,0.014686453704299381,-18.330830593891303,0.009179033565187115,0.6250000000000001,1.0
-80.75,0.12043440000311727,0.014504444704110853,-18.384988933043925,0.009065277940069283,0.6250000000000001,1.0
-80.5,0.11965230669879993,0.014316674498343684,-18.4415784897942,0.008947921561464805,0.6250000000000001,1.0000000000000002
-80.25,0.118840815445029,0.014123139415639445,-18.50068753755909,0.008826962134774654,0.6250000000000001,0.9999999999999999
-80.0,0.11799933729957048,0.013923843603137804,-18.562408634885607,0.008702402251961129,0.6250000000000001,1.0
-79.75,0.11712727963580777,0.01371879963488471,-18.626838867890342,0.008574249771802944,0.6250000000000001,0.9999999999999999
-79.5,0.11622404711928962,0.013508029128786852,-18.69408011520654,0.008442518205491785,0.6250000000000001,1.0
-79.25,0.11528904271735181,0.01329156337068337,-18.764239337804337,0.008307227106677108,0.6250000000000001,1.0000000000000002
-79.0,0.11432166874204305,0.013069443943965423,-18.83742889634809,0.00816840246497839,0.6250000000000001,1.0
-78.75,0.11332132792655085,0.012841723363036874,-18.913766899093712,0.008026077101898047,0.6250000000000001,1.0000000000000002
-78.5,0.11228742453529225,0.012608465708768953,-18.99337758371872,0.007880291067980596,0.6250000000000001,1.0
-78.25,0.11121936550775176,0.012369747263946882,-19.07639173692994,0.007731092039966803,0.6250000000000001,0.9999999999999999
-78.0,0.11011656163613287,0.01212565714656425,-19.162947156211164,0.0075785357166026565,0.6250000000000001,1.0000000000000002
-77.75,0.1089784287768094,0.011876297938662118,-19.253189158676854,0.007422686211663825,0.6250000000000001,1.0
-77.5,0.10780438909550837,0.011621786308255763,-19.347271142696908,0.007263616442659853,0.6250000000000001,1.0
-77.25,0.10659387234609838,0.011362253621736316,-19.44535520877168,0.007101408513585199,0.6250000000000001,1.0
-77.0,0.10534631718278584,0.011097846543976119,-19.547612847088374,0.006936154089985074,0.6250000000000001,1.0
-76.75,0.10406117250544233,0.010828727623207428,-19.65422570030554,0.006767954764504643,0.6250000000000001,1.0
-76.5,0.10273789883772938,0.010555075857591516,-19.76538641142206,0.006596922410994699,0.6250000000000001,1.0000000000000002
-76.25,0.10137596973759047,0.010277087240236859,-19.881299568134594,0.006423179525148037,0.6250000000000001,0.9999999999999999
-76.0,0.09997487323960222,0.009994975279274532,-20.002182756917307,0.006246859549546584,0.6250000000000001,1.0
-75.75,0.09853411332860591,0.009708971489454554,-20.128267742230715,0.006068107180909097,0.6250000000000001,0.9999999999999999
-75.5,0.09705321144391546,0.009419325851577363,-20.259801788861985,0.005887078657235852,0.6250000000000001,0.9999999999999999
-75.25,0.0955317080133425,0.009126307235946528,-20.397049148499864,0.005703942022466581,0.6250000000000001,0.9999999999999999
-75.0,0.09396916401615946,0.008830203785895878,-20.540292735380813,0.0055188773661849246,0.6250000000000001,0.9999999999999999
-74.75,0.0923651625740155,0.008531323257324313,-20.689836020348878,0.005332077035827697,0.6250000000000001,1.0
-74.5,0.09071931056873717,0.008229993310066987,-20.84600517813511,0.0051437458187918676,0.6250000000000001,1.0
-74.25,0.08903124028581288,0.007926561746830152,-21.009151529324825,0.004954101091768846,0.6250000000000001,1.0
-74.0,0.08730061108226427,0.007621396695336762,-21.179654326638545,0.004763372934585477,0.6250000000000001,1.0000000000000002
-73.75,0.08552711107748584,0.007314886729260601,-21.357923945199357,0.004571804205787876,0.6250000000000001,1.0
-73.5,0.08371045886551355,0.007007440923474837,-21.54440554890122,0.004379650577171773,0.6250000000000001,0.9999999999999998
-73.25,0.0818504052470623,0.0066994888391083245,-21.739583320489228,0.004187180524442703,0.6250000000000001,1.0
-73.0,0.07994673497955435,0.006391480433891098,-21.94398536238684,0.003994675271181937,0.6250000000000001,1.0000000000000002
-72.75,0.07799926854322074,0.006083885893277465,-22.158189399814106,0.0038024286832984166,0.6250000000000001,1.0
-72.5,0.07600786392123526,0.005777195377869017,-22.38282944887946,0.0036107471111681364,0.6250000000000001,0.9999999999999998
-72.25,0.07397241839170202,0.005471918682717015,-22.61860365218805,0.003419949176698135,0.6250000000000001,0.9999999999999998
-72.0,0.07189287032919062,0.005168584804169816,-22.866283535936297,0.0032303655026061358,0.6250000000000001,1.0
-71.75,0.06976920101336738,0.004867741410043664,-23.12672500937872,0.0030423383812772905,0.6250000000000001,1.0
-71.5,0.06760143644212963,0.004569954209039291,-23.400881515409132,0.0028562213806495574,0.6250000000000001,1.0000000000000002
-71.25,0.06538964914652443,0.004275806215505562,-23.68981985746629,0.0026723788846909776,0.6250000000000001,1.0
-71.0,0.06313396000457003,0.003985896905858648,-23.994739383991348,0.002491185566161655,0.6250000000000001,1.0
-70.75,0.060834540050966064,0.003700841263212594,-24.31699542299993,0.0023130257895078716,0.6250000000000001,0.9999999999999999
-70.5,0.058491612279544476,0.003421268707060558,-24.658128149085393,0.002138292941912849,0.6250000000000001,1.0
-70.25,0.05610545343513906,0.0031478219051625576,-25.019898467682186,0.001967388690726599,0.6250000000000001,1.0
-70.0,0.0536763957914448,0.0028811554651598332,-25.404333068568977,0.001800722165724896,0.6250000000000001,0.9999999999999999
-69.75,0.05120482891125784,0.0026219345038311867,-25.8137816122716,0.0016387090648944918,0.6250000000000001,1.0
-69.5,0.04869120138537203,0.002370833092350855,-26.250990194602394,0.0014817706827192844,0.6250000000000001,1.0
-69.25,0.046136022546248726,0.0021285325763879706,-26.71919698722799,0.0013303328602424819,0.6250000000000001,1.0
-69.0,0.04353986415243905,0.0018957197704128472,-27.22225860646723,0.0011848248565080296,0.6250000000000001,1.0
-68.75,0.04090336203960736,0.0016730850261431921,-27.76481987641018,0.0010456781413394952,0.6250000000000001,1.0
-68.5,0.03822721773385137,0.0014613201756712806,-28.352546195939997,0.0009133251097945505,0.6250000000000001,1.0
-68.25,0.035512200022898115,0.0012611163504663249,-28.99244843613709,0.0007881977190414531,0.6250000000000001,1.0000000000000002
-68.0,0.03275914648061806,0.0010731616781385908,-29.693348440788327,0.0006707260488366193,0.6250000000000001,1.0000000000000002
-67.75,0.02996896494016471,0.0008981388595848217,-30.466565126764465,0.0005613367872405136,0.6250000000000001,0.9999999999999999
-67.5,0.02714263491094593,0.0007367226299089007,-31.326959897166972,0.00046045164369306306,0.6250000000000001,0.9999999999999999
-67.25,0.02428120893448965,0.0005895771073203401,-32.294593880348124,0.00036848569207521256,0.6250000000000001,0.9999999999999999
-67.0,0.02138581387418456,0.0004573530350612649,-33.39748434528023,0.00028584564691329063,0.6250000000000001,1.0
-66.75,0.018457652133742987,0.00034068492229026706,-34.676470865995306,0.0002129280764314169,0.6250000000000001,0.9999999999999998
-66.5,0.015498002799162552,0.00024018809076285032,-36.19448530006385,0.00015011755672678147,0.6250000000000001,1.0000000000000002
-66.25,0.012508222698846938,0.0001564556350839498,-38.05608790192497,9.778477192746863e-05,0.6250000000000001,0.9999999999999999
-66.0,0.009489747376481082,9.005530526942958e-05,-40.454906972656616,5.628456579339349e-05,0.6250000000000001,1.0
-65.75,0.006444091971177401,4.1526321332993046e-05,-43.81676539767649,2.595395083312066e-05,0.6250000000000001,1.0
-65.5,0.003372851999338039,1.1376130609438608e-05,-49.44005430447567,7.110081630899131e-06,0.6250000000000001,1.0
-65.25,0.0002777040326355784,7.71195297420624e-08,-71.12835627329423,4.819970608878901e-08,0.6250000000000001,1.0
-65.0,0.0028395937335432275,8.063292571577966e-06,-50.93487581808404,5.039557857236229e-06,0.6250000000000001,1.0
-64.75,0.005977201026867426,3.572693211558502e-05,-44.4700427521867,2.232933257224064e-05,0.6250000000000001,0.9999999999999999
-64.5,0.00913319516575005,8.341525393568007e-05,-40.78754523770712,5.2134533709800054e-05,0.6250000000000001,1.0
-64.25,0.012305570853664773,0.00015142707403456397,-38.197964692704204,9.46419212716025e-05,0.6250000000000001,1.0
-64.0,0.015492240105800373,0.00024000950349576956,-36.19771561479823,0.00015000593968485598,0.6250000000000001,1.0
-63.75,0.018691032313734965,0.00034935468895308465,-34.56733423376335,0.0002183466805956779,0.6250000000000001,1.0
-63.5,0.021899694453788893,0.00047959661716931196,-33.191238888548455,0.00029974788573082,0.6250000000000001,1.0
-63.25,0.02511589144466038,0.0006308080030599645,-32.00102805414896,0.0003942550019124778,0.6250000000000001,0.9999999999999999
-63.0,0.028337206659881792,0.000802997281284849,-30.952859251135813,0.0005018733008030307,0.6250000000000001,1.0000000000000002
-62.75,0.03156114260056153,0.0009961057222529798,-30.016945650357275,0.0006225660764081125,0.6250000000000001,0.9999999999999999
-62.5,0.03478512173376569,0.0012100046940328982,-29.17212944899557,0.0007562529337705614,0.6250000000000001,1.0000000000000002
-62.25,0.03800648750179139,0.0014444930922238252,-28.402845306742307,0.0009028081826398909,0.6250000000000001,0.9999999999999998
-62.0,0.041222505507435586,0.0016992949603105573,-27.697312305971288,0.0010620593501940983,0.6250000000000001,1.0
-61.75,0.044430364880223075,0.00197405732338976,-27.046402402832037,0.0012337858271186,0.6250000000000001,1.0
-61.5,0.04762717982836952,0.002268348258403848,-26.442902676397757,0.0014177176615024053,0.6250000000000001,1.0
-61.25,0.050809991381078085,0.0025816552241452293,-25.881017575185368,0.0016135345150907685,0.6250000000000001,1.0
